Cell ID ,Area,Perimeter,Length,Width,Eccentricity,Irregularity
413,385,84,23.34523506,20.22374842,0.499541074,4.281036408
414,391,87,22.47220505,20.24845673,0.433726656,4.399779116
415,418,88,24,20,0.552770798,4.304220695
416,419,93,25.49509757,21.02379604,0.565685425,4.543347309
417,425,90,25,20,0.6,4.365641251
418,375,86,22.84731932,21.02379604,0.391480146,4.441020904
419,363,82,23.34523506,19.23538406,0.566657672,4.303883825
421,407,89,24.18677324,20.59126028,0.524608116,4.411566214
422,395,88,23,20,0.493818117,4.427760528
423,430,92,25.45584412,20.51828453,0.591868771,4.436633964
424,403,90,23.34523506,20.51828453,0.476993643,4.483219332
425,358,80,21,19,0.42591771,4.228131381
426,445,90,25.49509757,21.21320344,0.554700196,4.266409168
427,356,82,21.84032967,18.68154169,0.518019127,4.345991308
429,392,88,24.04163056,19.79898987,0.567273574,4.444671196
430,370,81,22,19,0.504115296,4.210989484
431,438,92,25,21,0.542586399,4.39593004
433,435,91,26,20,0.638971066,4.363116044
434,409,89,25.07987241,21.02379604,0.545249757,4.40076677
436,366,82,21,20,0.304910678,4.286208663
437,406,87,23,20,0.493818117,4.317737503
438,432,90,25.49509757,21.21320344,0.554700196,4.330127019
439,418,90,25.3179778,20.22374842,0.601609905,4.402043892
440,423,88,23,20,0.493818117,4.278706417
441,430,90,26,19,0.68262459,4.3401854
442,379,87,24.33105012,19.41648784,0.602640586,4.468889823
443,376,85,23.34523506,19.23538406,0.566657672,4.383540297
445,388,84,23.2594067,19.6977156,0.531798469,4.264453894
446,394,86,22,21,0.298065387,4.332617408
447,407,89,25.45584412,19.10497317,0.660854292,4.411566214
448,389,85,24.35159132,20.24845673,0.55551808,4.309671076
449,420,87,23,21,0.40786224,4.245165317
452,450,91,25.96150997,20.61552813,0.607812637,4.289781139
453,424,89,25.49509757,21.21320344,0.554700196,4.322222087
458,421,91,25.3179778,20.22374842,0.601609905,4.435068627
