Cell ID ,Area,Perimeter,Length,Width,Eccentricity,Well Segmented
92,261,73,18.38477631,16.97056275,0.384615385,1
93,254,72,19.10497317,16.1245155,0.536349916,1
94,230,65,17,15,0.470588235,1
95,218,60,15,15,0,1
96,240,68,19.02629759,15.03329638,0.612936055,1
97,236,64,18,14,0.628539361,1
98,222,63,16.1245155,16.1245155,0,1
99,349,103,32.24903099,17,0.849773726,1
100,244,69,19.31320792,15.8113883,0.574246213,1
101,254,68,18,16,0.458122847,1
102,237,68,18,15,0.552770798,1
103,263,70,17,16,0.33791545,1
104,217,62,16,15,0.347985273,1
105,323,80,24.51530134,15.29705854,0.781440285,1
106,235,66,17.4642492,16.15549442,0.379818766,1
107,271,72,20.39607805,16.2788206,0.602478854,1
108,220,60,15,15,0,1
109,231,67,16.97056275,15.55634919,0.399652627,1
110,233,66,17,16,0.33791545,1
111,256,70,19,17,0.446593757,1
112,398,118,33,19,0.817620458,1
113,268,75,19.6468827,17.72004515,0.43188945,1
114,267,71,18.68154169,16.4924225,0.469713075,1
115,257,67,19.6468827,16.4924225,0.543448974,1
116,263,70,19.6468827,16.76305461,0.521556062,1
117,259,72,19.79898987,15.55634919,0.618589574,1
118,269,74,19.84943324,17.02938637,0.513769784,1
119,238,68,17,16,0.33791545,1
120,268,72,19.41648784,16.2788206,0.5450525,1
121,254,67,18,16,0.458122847,1
122,251,71,17.4642492,16.55294536,0.31880926,1
123,242,66,17,16,0.33791545,1
124,240,68,18,16,0.458122847,1
125,246,66,17,16,0.33791545,1
126,247,70,18.38477631,15.8113883,0.510249968,1
127,230,64,16,16,0,1
128,247,70,19.20937271,16.2788206,0.530888706,1
129,240,68,18,16,0.458122847,1
130,334,90,25.63201124,16.15549442,0.776363141,1
131,263,74,18.38477631,16.2788206,0.464732537,1
132,238,68,17,16,0.33791545,1
133,259,72,18.78829423,16.55294536,0.473070855,1
134,248,68,17.4642492,16.55294536,0.31880926,1
135,264,71,18,17,0.328671099,1
136,253,70,17.4642492,16.4924225,0.3289327,1
137,262,71,18,17,0.328671099,1
138,248,65,17,16,0.33791545,1
139,261,71,20.61552813,16.4924225,0.6,1
140,215,68,18.02775638,13.92838828,0.634883393,1
141,380,109,30,18,0.8,1
142,255,69,17.72004515,16.4924225,0.365729356,1
143,262,70,17.69180601,16.97056275,0.282616709,1
144,282,74,20.61552813,17.80449381,0.50410083,1
145,254,69,18,16,0.458122847,1
146,261,72,19.10497317,16.2788206,0.523423923,1
147,259,71,18.78829423,17.4642492,0.36875105,1
148,263,71,19.10497317,16.2788206,0.523423923,1
149,317,81,23.32380758,17,0.684653197,1
150,281,77,19.23538406,17.49285568,0.415900196,1
151,260,72,18.38477631,16.97056275,0.384615385,1
152,292,79,22.02271555,17.80449381,0.588550552,1
153,265,70,18.02775638,16.64331698,0.384307569,1
154,301,76,22.09072203,17.11724277,0.632131445,1
155,253,66,17,16,0.33791545,1
156,271,74,19.79898987,16.97056275,0.515078754,1
157,293,82,19.84943324,17.02938637,0.513769784,1
158,256,69,19,16,0.539313198,1
159,281,75,20,17,0.526782688,1
160,310,78,21,17,0.587087048,1
161,360,95,23.2594067,20.1246118,0.501384405,1
162,271,72,19,17,0.446593757,1
163,266,70,18,17,0.328671099,1
164,270,71,20,17,0.526782688,1
165,403,128,36.7151195,17.49285568,0.879202498,1
166,273,72,19.23538406,16.55294536,0.509371632,1
167,268,71,20.61552813,16.55294536,0.596065531,1
168,284,75,18,18,0,1
169,304,78,20.1246118,16.55294536,0.568732617,1
170,440,127,35.35533906,21.9544984,0.783836718,1
171,299,74,20.61552813,17.4642492,0.531368931,1
172,284,70,18,17,0.328671099,1
173,270,73,19.6468827,17.4642492,0.458087939,1
174,274,72,20,16,0.6,1
175,297,74,19,18,0.320145396,1
176,206,60,18,12,0.745355992,1
177,294,79,19.6468827,19.6468827,0,1
178,299,74,20.24845673,18.02775638,0.455320846,1
179,282,73,20,17,0.526782688,1
180,242,66,19.23538406,15.29705854,0.606273509,1
181,429,107,31.11269837,18.38477631,0.806738152,1
182,279,75,18.68154169,18.43908891,0.160586318,1
183,302,77,19.6977156,18.78829423,0.300343446,1
184,300,76,21.9317122,16.55294536,0.656013285,1
185,290,73,20,17,0.526782688,1
186,325,83,22.02271555,17.80449381,0.588550552,1
187,275,73,19.79898987,16.97056275,0.515078754,1
188,280,74,21.21320344,16.97056275,0.6,1
189,303,76,21,17,0.587087048,1
190,282,73,18.78829423,17.4642492,0.36875105,1
191,285,74,19.6468827,17.72004515,0.43188945,1
192,309,77,20,18,0.435889894,1
193,333,82,22.02271555,18.43908891,0.546780644,1
194,277,72,17.69180601,17.69180601,0,1
195,314,83,21.63330765,18.02775638,0.552770798,1
196,281,74,18,18,0,1
197,304,76,20.1246118,17.4642492,0.496903995,1
198,295,78,20.59126028,17.88854382,0.495260557,1
199,296,77,19.23538406,17.49285568,0.415900196,1
