Cell ID ,Area,Perimeter,Length,Width,Eccentricity,Irregularity
593,688,121,37,22,0.804025664,4.613081753
630,309,146,46.17358552,24.08318916,0.853202773,8.30564981
641,795,136,33.54101966,30.41381265,0.421637021,4.823422934
650,584,158,51.7880295,23.34523506,0.892632868,7.158790936
661,699,136,39.05124838,26.2488095,0.74040308,5.143992426
665,822,139,36.24913792,27.31300057,0.657470824,4.84818174
669,1183,181,46.86149806,37.64306045,0.595597081,5.262428432
674,440,97,26.17250466,19.79898987,0.654016228,4.624293558
681,364,91,28.44292531,17.2626765,0.794760344,4.769696007
684,682,116,36,21,0.812232862,4.44186957
685,499,130,31.11269837,21.21320344,0.731521679,5.819599253
689,1080,172,44.04543109,33.30165161,0.654484924,5.233793327
690,606,110,29.69848481,23.34523506,0.61813119,4.46844455
691,659,118,38,20,0.85028918,4.596627384
692,646,127,36.87817783,22.02271555,0.802111185,4.996748169
693,669,112,31.40063694,25.3179778,0.591522257,4.330170169
701,887,142,43.73785546,26.47640459,0.795964731,4.767893373
702,852,141,42.3792402,25.63201124,0.796358639,4.830580404
703,1100,174,40.26164428,37.36308338,0.372563025,5.246297396
704,976,135,38,32,0.539313198,4.321244698
